Country, Year,Week,Received/ collected,A (H1),A (H1N1)pdm09,A (H3),A (H5),A (not subtyped),A (Total),B (Yamagata lineage),B (Victoria lineage),B (lineage not determined),B (Total),Total number of influenza positive viruses,ILI activity
China,2018,35,10361,,105,46,0,0,151,0,3,0,3,154,Sporadic
China,2018,36,10526,,112,69,0,0,181,2,2,3,7,188,Sporadic
China,2018,37,19283,,269,191,0,0,460,2,0,0,2,462,Sporadic
China,2018,38,10449,,132,46,0,0,178,3,0,2,5,183,Sporadic
China,2018,39,10623,,142,52,0,0,194,2,2,1,5,199,Sporadic
China,2018,40,11963,,147,30,0,0,177,4,3,2,9,186,Sporadic
China,2018,41,14114,,126,31,0,0,157,3,3,0,6,163,Sporadic
China,2018,42,14547,,124,32,0,0,156,2,0,2,4,160,Sporadic
China,2018,43,14687,,177,29,0,0,206,7,6,0,13,219,Sporadic
China,2018,44,14905,,248,48,0,1,297,11,4,0,15,312,Sporadic
China,2018,45,15227,,295,80,0,0,375,5,11,2,18,393,Sporadic
China,2018,46,15611,,376,60,0,4,440,8,6,2,16,456,Sporadic
China,2018,47,15651,,608,69,0,0,677,4,4,6,14,691,Sporadic
China,2018,48,16440,,885,93,0,1,979,8,10,8,26,1005,Sporadic
China,2018,49,16862,,1049,149,0,2,1200,5,4,3,12,1212,Sporadic
China,2018,50,16922,,1434,171,0,2,1607,8,15,3,26,1633,Local Outbreak
China,2018,51,18226,,2431,312,0,2,2745,2,19,4,25,2770,Local Outbreak
China,2018,52,18401,,3090,462,0,2,3554,2,17,2,21,3575,Local Outbreak
China,2019,1,18742,,4153,642,,1,4796,6,27,4,37,4833,Regional Outbreak
China,2019,2,21516,,6128,938,0,7,7073,7,44,15,66,7139,Regional Outbreak
China,2019,3,22271,,7144,1183,0,17,8344,2,62,18,82,8426,Regional Outbreak
China,2019,4,22232,,6519,1205,0,20,7744,1,75,12,88,7832,Regional Outbreak
China,2019,5,19427,,5093,1117,0,29,6239,3,73,27,103,6342,Regional Outbreak
China,2019,6,14921,,3021,883,0,1,3905,9,84,8,101,4006,Regional Outbreak
China,2019,7,18486,,3590,1098,0,0,4688,11,148,15,174,4862,Regional Outbreak
China,2019,8,17908,,2871,1083,0,0,3954,11,185,21,217,4171,Local Outbreak
China,2019,9,18088,,2569,1414,0,5,3988,18,370,23,411,4399,Local Outbreak
China,2019,10,17968,,2035,1570,0,0,3605,8,772,36,816,4421,Local Outbreak
China,2019,11,17770,,1517,1597,0,1,3115,35,1280,34,1349,4464,Local Outbreak
China,2019,12,18288,,1001,1312,0,2,2315,32,1742,39,1813,4128,Local Outbreak
China,2019,13,17707,,633,1176,0,8,1817,41,2077,92,2210,4027,Local Outbreak
China,2019,14,11603,,298,558,0,1,857,8,1053,62,1123,1980,Local Outbreak
China,2019,15,14405,,238,584,0,0,822,25,1776,73,1874,2696,Local Outbreak
China,2019,16,13687,,183,460,0,0,643,15,1702,70,1787,2430,Local Outbreak
China,2019,17,12517,,118,398,0,2,518,16,1483,127,1626,2144,Local Outbreak
China,2019,18,11665,,112,273,0,0,385,6,1073,131,1210,1595,Local Outbreak
China,2019,19,12744,,79,229,0,0,308,11,1226,91,1328,1636,Local Outbreak
China,2019,20,12850,,79,245,0,0,324,13,1236,202,1451,1775,Local Outbreak
China,2019,21,12613,,94,232,0,0,326,7,1138,192,1337,1663,Local Outbreak
China,2019,22,11926,,53,167,0,0,220,9,971,143,1123,1343,Local Outbreak
China,2019,23,11299,,52,189,0,0,241,2,814,137,953,1194,Sporadic
China,2019,24,10673,,74,187,0,0,261,0,426,173,599,860,Sporadic
China,2019,25,13195,,120,216,0,0,336,6,625,152,783,1119,Sporadic
China,2019,26,12739,,141,246,0,0,387,8,531,137,676,1063,Sporadic
China,2019,27,12075,,163,259,0,0,422,7,446,168,621,1043,Sporadic
China,2019,28,12110,,183,263,0,0,446,7,408,132,547,993,Sporadic
China,2019,29,12343,,176,264,0,0,440,2,372,104,478,918,Sporadic
China,2019,30,11756,,136,290,0,0,426,1,354,70,425,851,Sporadic
China,2019,31,11309,,86,299,0,0,385,3,291,36,330,715,Sporadic
China,2019,32,11678,,55,319,0,0,374,0,274,20,294,668,Sporadic
China,2019,33,11471,,58,259,0,0,320,2,211,17,230,550,Sporadic
China,2019,34,10016,,49,163,0,0,212,1,136,5,142,354,Sporadic
China,2019,35,11081,,72,209,0,0,284,0,135,6,141,425,Sporadic
China,2019,36,10430,,80,199,0,0,279,0,92,6,98,377,Sporadic
China,2019,37,4127,,47,76,,,123,0,8,2,10,133,Sporadic
China,2019,38,5345,,56,80,,,136,0,11,6,17,153,Sporadic
China,2019,39,4904,,25,49,,,74,0,14,8,22,96,Sporadic
China,2019,40,13003,,51,125,,,192,3,77,2,82,274,Sporadic
China,2019,41,4317,,54,175,,,229,0,69,10,79,308,Sporadic
China,2019,42,15466,,53,229,,,282,3,67,2,72,354,Sporadic
China,2019,43,16376,,73,262,,,335,2,98,9,109,444,Sporadic
China,2019,44,16371,,55,395,,,450,0,90,8,98,548,Sporadic
China,2019,45,16904,,68,471,,,539,2,132,8,142,681,Sporadic
China,2019,46,16953,,82,597,,,679,3,142,1,146,825,Sporadic
China,2019,47,18199,,86,913,,,999,2,251,2,255,1254,Sporadic
China,2019,48,16467,,93,827,,,920,5,226,1,232,1152,Sporadic
China,2019,49,21032,,137,2027,,,2164,1,545,5,551,2715,Sporadic
China,2019,50,25307,,194,3240,,,3435,3,848,35,886,4321,Sporadic
China,2019,51,5974,,371,4029,,,4402,3,1204,33,1240,5642,Sporadic
China,2019,52,26570,,479,4506,,,4985,1,1399,30,1430,6415,Sporadic
China,2020,1,22782,,688,4518,,,5206,1,1578,20,1599,6805,Local Outbreak
China,2020,2,22484,,1271,4081,,,5352,8,1707,38,1753,7105,Regional Outbreak
China,2020,3,20519,,1444,2941,,,4386,8,1719,62,1789,6175,Regional Outbreak
China,2020,4,18936,,1644,1933,,,3578,10,1465,75,1550,5128,Regional Outbreak
China,2020,5,16301,,1260,895,,,2155,15,919,52,986,3141,Local Outbreak
China,2020,6,14252,,426,355,,,783,2,447,26,475,1258,Sporadic
China,2020,7,4965,,144,158,,,302,0,133,8,141,443,Sporadic
China,2020,8,5664,,66,91,,,157,3,51,5,59,216,Sporadic
China,2020,9,4966,,48,73,,,121,1,25,3,29,150,Sporadic
China,2020,10,4212,,41,31,,,73,2,27,1,30,103,Sporadic
China,2020,11,4461,,43,39,,,82,1,37,7,45,127,Sporadic
China,2020,12,15161,,41,41,,1,83,0,46,4,50,133,Sporadic
China,2020,13,13835,,24,26,,,50,0,21,2,23,73,Sporadic
China,2020,14,8705,,9,8,,,17,1,8,2,11,28,Sporadic
China,2020,15,9377,,7,10,,,17,1,3,2,6,23,Sporadic
China,2020,16,9104,,2,4,,,6,0,1,0,1,7,Sporadic
China,2020,17,9035,,0,3,,1,4,1,2,1,4,8,Sporadic
China,2020,18,8161,,0,0,,,0,0,0,0,0,0,Sporadic
China,2020,19,8985,,2,3,,,5,1,1,0,2,7,Sporadic
China,2020,20,9443,,1,2,,,3,0,4,0,4,7,Sporadic
China,2020,21,8530,,0,0,,,0,0,0,0,0,0,Sporadic
China,2020,22,1869,,0,1,,,1,0,0,0,0,1,Sporadic
China,2020,23,2230,,0,0,,,0,0,0,0,0,0,Sporadic
China,2020,24,2101,,3,6,,,9,0,7,0,7,16,Sporadic
China,2020,25,9300,,3,0,,,3,0,1,0,1,4,Sporadic
China,2020,26,8764,,0,0,,,0,0,0,0,0,0,Sporadic
China,2020,27,8660,,0,0,,,0,0,0,0,0,0,Sporadic
China,2020,28,9701,,1,0,,,1,0,0,0,0,1,Sporadic
China,2020,29,9739,,4,0,,,4,0,0,0,0,4,Sporadic
China,2020,30,9173,,1,7,,,8,0,0,0,0,8,Sporadic
China,2020,31,8910,,1,2,,,3,0,1,0,1,4,Sporadic
China,2020,32,8791,,0,0,,,0,0,0,0,0,0,Sporadic
China,2020,33,8633,,0,0,,,0,0,2,0,2,2,Sporadic
China,2020,34,8774,,0,1,,,1,0,1,0,1,2,Sporadic
China,2020,35,8509,,0,0,,,0,0,1,0,1,1,Sporadic
China,2020,36,8606,,0,0,,,0,1,2,0,3,3,Sporadic
China,2020,37,8119,,0,0,,,0,0,3,0,3,3,Sporadic
China,2020,38,8660,,0,0,,,0,0,2,0,2,2,Sporadic
China,2020,39,8276,,0,0,,,0,0,1,0,1,1,Sporadic
China,2020,40,10105,,1,0,,1,2,0,3,1,4,6,Sporadic
China,2020,41,10068,,0,0,,,0,0,2,0,2,2,Sporadic
China,2020,42,11897,,1,4,,,5,0,0,0,0,5,Sporadic
China,2020,43,12076,,0,1,,1,2,0,4,2,6,8,Sporadic
China,2020,44,12233,,2,1,,,3,1,4,1,6,9,Local Outbreak
China,2020,45,12786,,0,1,,,1,0,2,2,4,5,Sporadic
China,2020,46,13218,,0,2,,1,3,0,2,0,2,5,Sporadic
China,2020,47,13259,,0,2,,1,3,0,9,0,9,12,Local Outbreak
China,2020,48,13538,,0,1,,1,2,0,2,2,4,6,Sporadic
China,2020,49,14413,,6,6,,2,14,0,18,6,24,38,Local Outbreak
China,2020,50,13631,,3,5,,1,9,0,24,3,27,36,Local Outbreak
China,2020,51,14005,,1,2,,,3,1,35,3,39,42,Local Outbreak
China,2020,52,17459,,2,2,,,4,0,62,3,65,69,Local Outbreak
China,2020,53,17908,,0,3,,1,4,0,56,3,59,63,Local Outbreak
China,2021,1,18108,,3,1,,,4,1,121,1,123,127,Local Outbreak
China,2021,2,18159,,1,0,,,1,0,122,0,122,123,Local Outbreak
China,2021,3,17561,,2,1,,,3,1,158,1,160,163,Local Outbreak
China,2021,4,17328,,1,1,,1,3,0,148,6,154,157,Local Outbreak
China,2021,5,17509,,0,0,,,0,1,125,1,127,127,Local Outbreak
China,2021,6,14801,,1,0,,,1,0,55,0,55,56,Local Outbreak
China,2021,7,15906,,0,0,,,0,0,56,0,56,56,Local Outbreak
China,2021,8,17295,,2,0,,,2,0,68,1,69,71,Local Outbreak
China,2021,9,17474,,0,1,,,1,0,81,6,87,88,Local Outbreak
China,2021,10,18165,,0,0,,,0,0,101,1,102,102,Local Outbreak
China,2021,11,19280,,1,0,,,1,0,204,3,207,208,Local Outbreak
China,2021,12,17891,,1,0,,,1,5,192,7,204,205,Local Outbreak
China,2021,13,19204,,1,1,,,2,0,214,2,216,218,Local Outbreak
China,2021,14,16071,,0,0,,,0,1,221,0,222,222,Local Outbreak
China,2021,15,14355,,0,1,,,1,0,248,4,252,253,Local Outbreak
China,2021,16,15171,,0,0,,,0,0,315,6,321,321,Local Outbreak
China,2021,17,12790,,1,0,,,1,0,344,2,346,347,Local Outbreak
China,2021,18,12370,,1,0,,,1,7,292,11,310,311,Local Outbreak
