Country, Year,Week,Received/ collected,A (H1),A (H1N1)pdm09,A (H3),A (H5),A (not subtyped),A (Total),B (Yamagata lineage),B (Victoria lineage),B (lineage not determined),B (Total),Total number of influenza positive viruses,ILI activity
United Kingdom of Great Britain and Northern Ireland,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,2,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,3,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,4,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,5,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,6,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,7,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,8,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,9,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,10,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,11,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,12,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,13,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,14,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,15,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,16,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,17,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,18,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,19,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,20,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,21,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,22,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,23,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,24,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,25,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,26,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,27,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,28,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,29,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,30,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,31,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,32,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,33,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,34,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,35,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,36,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,37,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,38,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,39,0,0,0,0,0,0,0,0,0,0,0,0,No Report
United Kingdom of Great Britain and Northern Ireland,1995,40,0,0,0,0,0,0,0,0,0,0,0,0,No Report
